-46.6336421692603,-23.6409397134575,"R. Bicudo De Brito, 631",R Inajatuba/ R General Gastao Goulart,Ref.: R Inajatuba/ R General Gastao Goulart
-46.6731991530375,-23.5967328706034,Fiandeiras B/C1,"Av. Sto. Amaro, 1481 Ref.: R Natividade/ R Das Fiandeiras","Av. Sto. Amaro, 1481 Ref.: R Natividade/ R Das Fiandeiras"
-46.4957110841216,-23.5391964258167,"Av. Antônio Estevão De Carvalho, 3438",,
-46.6439604706286,-23.5380148473043,"Al. Br. De Limeira, 266",Av Duque De Caxias/ R General Osorio,Ref.: Av Duque De Caxias/ R General Osorio
-46.6963246412426,-23.7205698126609,"Av. Pres. João Goulart, 141",Rua Profº Roldão De Barros,Ref.: Rua Profº Roldão De Barros
-46.4449162359411,-23.557307262941,Av. Jacu-pêssego/nova Trabalhadores,R Agrimensor Sugaya/ R Tome Alvares De Castro,Ref.: R Agrimensor Sugaya/ R Tome Alvares De Castro
-46.627153846095,-23.4461438944331,R. Luiz Carlos Gentile De Laet,Est Do Guarau,Ref.: Est Do Guarau
-46.6833305333007,-23.4700870284546,"R. Caiapé, 189",R Carlos Maria Monteiro/ R Barreiro,Ref.: R Carlos Maria Monteiro/ R Barreiro
-46.6060293015351,-23.6357396401122,"Av. Pe. Arlindo Vieira, 1800",R Sao Alfeu/ R Nagib Tanus Gastin,Ref.: R Sao Alfeu/ R Nagib Tanus Gastin
-46.6110683712166,-23.6086856818815,"R. Vergueiro, 7385",R Lino Guedes/ R Jeremias Junior,Ref.: R Lino Guedes/ R Jeremias Junior
-46.7459387316739,-23.632480041614,"R. Mário Linhares, 729",R Chinigua/ R Professor Luis Magalhaes De Araujo,Ref.: R Chinigua/ R Professor Luis Magalhaes De Araujo
-46.4364832106881,-23.5754332201349,"R. Hirovo Kaminobo, 787",R Tomoichi Shimizu/ R Francesco Navarrini,Ref.: R Tomoichi Shimizu/ R Francesco Navarrini
-46.5830430525109,-23.4392287770581,"R. Tito Lessi, 18",R Toledo Bassi/ R Antonio Quintiliano,Ref.: R Toledo Bassi/ R Antonio Quintiliano
-46.574028706353,-23.5545486320236,"R. Mal. Barbacena, 474",R Dante Pellacani/ R Bento Goncalves,Ref.: R Dante Pellacani/ R Bento Goncalves
